Centro,Apropiacion_Vigente
930845 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA - SERVICIOS PRESTADOS A LA FORMACION,41923953603.0
930824 CENTRO DE COMERCIO Y SERVICIOS - CONSTRUCCIONES Y ADECUACIONES,19440852172.0
930827 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA-MODERNIZACION AMBIENTES,12065293933.0
930811 CENTRO DE COMERCIO Y SERVICIOS - INTEGRACION CON LA MEDIS,11185609043.0
930810 CENTRO DE COMERCIO Y DE SERVICIOS-RISARALDA,8416883745.41
930844 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA - APOYOS DE SOSTENIMIENTO,6062760319.0
930842 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA - BIENESTAR APRENDICES,4362988133.0
930838 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA-ECONOMÍA CAMPESINA Y SER,3435786872.0
930870 CENTRO DE COMERCIO Y SERVICIOS - TECNOACADEMIA,2950758328.0
930828 CENTRO DE COMERCIO Y SERVICIOS-CERTIFICACION COMPETENCIAS LABORALES,2403248862.0
930834 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA-PRODUCCION CENTROS,2121000000.0
"930885 CENTRO DE COMERCIO Y SERVICIOS RISARALDA, SERVICIOS PRESTADOS A LA FORMACION - ECONOMIA POPULAR",1799485548.0
930868 CENTRO DE COMERCIO Y SERVICIOS - COLOMBIA CERTIFICA-RISARALDA,1403664409.0
930864 CENTRO DE COMERCIO Y SERVICIOS - FORMACION ALATA GERENCIA-RISARALDA,1257213097.0
930884 CENTRO DE COMERCIO Y SERVICIOS RISARALDA - SENA EMPRENDE RURAL - ECONOMIA POPULAR,428694000.0
930820 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA-DISEÑO CURRICULAR,195712195.0
"930886 CENTRO DE COMERCIO Y SERVICIOS RISARALDA, CERTIFICACION COMPETENCIA LABORALES - ECONOMIA POPULAR",156520000.0
930823 CENTRO DE COMERCIO Y SERVICIOS-ACTUALIZACION Y MODERNIZACION TECNOLOGICA,151912404.0
930865 CENTRO DE COMERCIO Y SERVICIOS-APROPIACION DE CIENCIA Y TECNOLOGIA YCULTURA DE LA INNOVACIÓNEN CENTR,55638954.0
930814 CENTRO SUR COLOMBIANO DE LOGÍSTICA INTERNACIONAL -ESCUELA INSTRUCTORES - ESCUELA INSTRUCTORES,49000000.0
930862 CENTRO DE COMERCIO Y SERVICIOS-CONCURSOS PARA RETROALIMENTAR MEJORAS,35948668.0
930877 CENTRO DE COMERCIO Y SERVICIOS - RISARALDA - CERTIFICACION DE LOS INSTRUCTORES DEL SENA,13503756.0
930818 CENTRO DE COMERCIO Y SERVICIOS - FONDO INDUSTRIA Y DE LA CONSTRUCCION FIC,0.0
930809 CENTRO DE COMERCIO Y SERVICIOS-RISARALDA - SALUD OCUPACIONAL,0.0
TOTAL GENERAL,119916428041.41
